Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HC,AC,HF,AF,HY,AY,HR,AR,Referee,PSCH,PSCD,PSCA,liga,temporada,xG_casa,xG_fora
SP1,2016-09-21,Sociedad,Las Palmas,4,1,H,7.0,4.0,3.0,7.0,1.0,2.0,0.0,1.0,,1.88,3.65,4.67,La Liga,1617,2.81655,1.02708
SP1,2016-09-21,Granada,Ath Bilbao,1,2,A,6.0,3.0,8.0,9.0,1.0,0.0,0.0,0.0,,4.33,3.63,1.94,La Liga,1617,0.887639,1.57519
SP1,2016-09-21,Barcelona,Ath Madrid,1,1,D,8.0,2.0,14.0,17.0,2.0,4.0,0.0,0.0,,1.54,4.51,6.74,La Liga,1617,1.32384,0.295787
SP1,2016-09-22,La Coruna,Leganes,1,2,A,7.0,1.0,20.0,18.0,0.0,3.0,0.0,0.0,,2.26,3.2,3.77,La Liga,1617,1.64049,1.06372
SP1,2016-09-22,Osasuna,Espanol,1,2,A,7.0,1.0,16.0,14.0,2.0,1.0,0.0,0.0,,3.36,3.23,2.42,La Liga,1617,1.06944,1.39628
SP1,2016-09-22,Valencia,Alaves,2,1,H,7.0,4.0,14.0,13.0,2.0,3.0,0.0,0.0,,1.55,4.4,6.73,La Liga,1617,1.42235,0.259625
SP1,2016-09-23,Betis,Malaga,1,0,H,6.0,5.0,20.0,15.0,4.0,6.0,0.0,0.0,,2.57,3.25,3.09,La Liga,1617,0.741813,0.786565
SP1,2016-09-24,Ath Bilbao,Sevilla,3,1,H,4.0,5.0,9.0,9.0,2.0,2.0,0.0,1.0,,1.99,3.47,4.38,La Liga,1617,2.14897,0.607158
SP1,2016-09-24,Eibar,Sociedad,2,0,H,5.0,3.0,15.0,13.0,4.0,2.0,0.0,1.0,,2.75,3.24,2.88,La Liga,1617,1.67754,0.0863513
SP1,2016-09-24,Las Palmas,Real Madrid,2,2,D,0.0,5.0,7.0,19.0,3.0,2.0,0.0,0.0,,9.15,5.8,1.35,La Liga,1617,1.31532,2.7519
SP1,2016-09-24,Sp Gijon,Barcelona,0,5,A,4.0,3.0,15.0,10.0,1.0,0.0,1.0,0.0,,12.93,6.79,1.26,La Liga,1617,0.631314,3.6662
SP1,2016-09-25,Ath Madrid,La Coruna,1,0,H,10.0,0.0,13.0,19.0,1.0,2.0,0.0,1.0,,1.22,6.79,19.37,La Liga,1617,2.13155,0.2328
SP1,2016-09-25,Espanol,Celta,0,2,A,4.0,7.0,15.0,13.0,2.0,3.0,0.0,0.0,,2.33,3.38,3.4,La Liga,1617,0.542865,0.705192
SP1,2016-09-25,Leganes,Valencia,1,2,A,1.0,5.0,19.0,17.0,4.0,4.0,0.0,0.0,,3.09,3.39,2.46,La Liga,1617,1.29014,1.37734
SP1,2016-09-25,Villarreal,Osasuna,3,1,H,5.0,5.0,7.0,16.0,0.0,2.0,0.0,0.0,,1.4,4.9,10.07,La Liga,1617,2.9887,1.7961
SP1,2016-09-26,Alaves,Granada,3,1,H,5.0,6.0,15.0,19.0,3.0,3.0,0.0,0.0,,1.95,3.51,4.48,La Liga,1617,1.72967,0.820437
SP1,2016-09-30,Sociedad,Betis,1,0,H,4.0,2.0,17.0,22.0,2.0,3.0,0.0,0.0,,1.86,3.6,4.86,La Liga,1617,1.18527,0.68749
SP1,2016-10-01,Granada,Leganes,0,1,A,6.0,4.0,13.0,20.0,1.0,0.0,0.0,0.0,,2.49,3.26,3.21,La Liga,1617,0.665545,0.238575
SP1,2016-10-01,La Coruna,Sp Gijon,2,1,H,11.0,4.0,17.0,26.0,0.0,4.0,0.0,0.0,,1.88,3.46,4.99,La Liga,1617,1.26977,0.234392
SP1,2016-10-01,Osasuna,Las Palmas,2,2,D,1.0,12.0,17.0,7.0,3.0,4.0,0.0,0.0,,2.77,3.46,2.7,La Liga,1617,0.988479,1.37115
SP1,2016-10-01,Sevilla,Alaves,2,1,H,9.0,2.0,10.0,13.0,2.0,6.0,0.0,0.0,,1.43,4.85,8.84,La Liga,1617,2.4771,1.11701
SP1,2016-10-02,Celta,Barcelona,4,3,H,3.0,6.0,16.0,11.0,1.0,3.0,0.0,0.0,,8.52,4.97,1.43,La Liga,1617,1.53201,2.27848
SP1,2016-10-02,Espanol,Villarreal,0,0,D,3.0,1.0,14.0,10.0,2.0,2.0,0.0,0.0,,3.21,3.17,2.55,La Liga,1617,0.351825,0.696855
SP1,2016-10-02,Malaga,Ath Bilbao,2,1,H,7.0,2.0,19.0,11.0,7.0,3.0,1.0,1.0,,2.64,3.19,3.05,La Liga,1617,1.38797,0.599527
SP1,2016-10-02,Real Madrid,Eibar,1,1,D,7.0,5.0,8.0,15.0,4.0,5.0,0.0,0.0,,1.12,11.0,26.5,La Liga,1617,1.67419,0.445
SP1,2016-10-02,Valencia,Ath Madrid,0,2,A,6.0,5.0,10.0,15.0,1.0,3.0,0.0,0.0,,4.67,3.66,1.88,La Liga,1617,1.00546,3.29348
SP1,2016-10-14,Las Palmas,Espanol,0,0,D,8.0,4.0,13.0,21.0,2.0,3.0,0.0,0.0,,1.88,3.73,4.53,La Liga,1617,1.07463,0.318729
SP1,2016-10-15,Ath Madrid,Granada,7,1,H,11.0,3.0,14.0,8.0,1.0,1.0,0.0,0.0,,1.12,10.72,30.65,La Liga,1617,3.0536,0.306751
SP1,2016-10-15,Barcelona,La Coruna,4,0,H,8.0,2.0,5.0,15.0,1.0,2.0,0.0,1.0,,1.14,10.49,22.39,La Liga,1617,4.85964,0.278286
SP1,2016-10-15,Betis,Real Madrid,1,6,A,2.0,5.0,14.0,8.0,4.0,1.0,0.0,0.0,,10.93,6.38,1.3,La Liga,1617,0.908061,3.98737
SP1,2016-10-15,Leganes,Sevilla,2,3,A,5.0,2.0,17.0,20.0,2.0,5.0,0.0,0.0,,3.56,3.49,2.21,La Liga,1617,0.851751,1.53817
SP1,2016-10-16,Alaves,Malaga,1,1,D,6.0,7.0,14.0,14.0,3.0,3.0,1.0,1.0,,2.92,3.08,2.84,La Liga,1617,1.34202,0.419972
SP1,2016-10-16,Ath Bilbao,Sociedad,3,2,H,7.0,4.0,17.0,19.0,3.0,3.0,0.0,0.0,,1.85,3.6,4.89,La Liga,1617,1.53028,0.618302
SP1,2016-10-16,Sp Gijon,Valencia,1,2,A,4.0,4.0,21.0,11.0,5.0,1.0,0.0,0.0,,3.55,3.42,2.24,La Liga,1617,0.487759,0.962304
SP1,2016-10-16,Villarreal,Celta,5,0,H,3.0,5.0,19.0,12.0,1.0,4.0,0.0,1.0,,2.1,3.43,3.97,La Liga,1617,1.79979,0.258037
SP1,2016-10-17,Eibar,Osasuna,2,3,A,5.0,0.0,15.0,12.0,1.0,2.0,0.0,0.0,,1.63,4.1,6.22,La Liga,1617,0.802032,1.40368
SP1,2016-10-21,Osasuna,Betis,1,2,A,6.0,4.0,20.0,12.0,3.0,2.0,1.0,0.0,,2.66,3.25,2.97,La Liga,1617,0.929293,1.23524
SP1,2016-10-22,Espanol,Eibar,3,3,D,7.0,6.0,11.0,12.0,1.0,6.0,1.0,0.0,,2.22,3.29,3.78,La Liga,1617,0.850937,2.01542
SP1,2016-10-22,Granada,Sp Gijon,0,0,D,3.0,3.0,10.0,12.0,4.0,1.0,0.0,0.0,,2.34,3.36,3.4,La Liga,1617,0.546868,0.242784
SP1,2016-10-22,Sociedad,Alaves,3,0,H,4.0,2.0,17.0,20.0,3.0,5.0,0.0,0.0,,1.66,3.98,6.05,La Liga,1617,1.84569,0.772306
SP1,2016-10-22,Valencia,Barcelona,2,3,A,3.0,1.0,15.0,13.0,5.0,4.0,0.0,0.0,,8.3,5.65,1.38,La Liga,1617,0.839578,2.05021
SP1,2016-10-23,Celta,La Coruna,4,1,H,5.0,4.0,17.0,15.0,3.0,5.0,0.0,0.0,,1.8,3.78,5.01,La Liga,1617,1.82791,0.72415
SP1,2016-10-23,Malaga,Leganes,4,0,H,5.0,8.0,12.0,15.0,1.0,3.0,0.0,0.0,,2.17,3.24,3.99,La Liga,1617,3.12089,1.18794
SP1,2016-10-23,Real Madrid,Ath Bilbao,2,1,H,6.0,4.0,10.0,17.0,2.0,3.0,0.0,0.0,,1.2,7.87,15.39,La Liga,1617,3.52634,1.38084
SP1,2016-10-23,Sevilla,Ath Madrid,1,0,H,4.0,5.0,15.0,11.0,4.0,2.0,0.0,1.0,,4.07,3.62,2.01,La Liga,1617,1.13802,0.770754
SP1,2016-10-23,Villarreal,Las Palmas,2,1,H,2.0,1.0,16.0,12.0,2.0,3.0,0.0,0.0,,1.68,4.04,5.65,La Liga,1617,1.67294,0.5357
SP1,2016-10-28,Leganes,Sociedad,0,2,A,1.0,4.0,19.0,15.0,5.0,2.0,0.0,0.0,,2.83,3.16,2.85,La Liga,1617,0.192695,1.47952
SP1,2016-10-29,Alaves,Real Madrid,1,4,A,4.0,3.0,15.0,6.0,5.0,1.0,0.0,0.0,,16.51,7.75,1.2,La Liga,1617,1.37267,2.77099
SP1,2016-10-29,Ath Madrid,Malaga,4,2,H,6.0,2.0,10.0,10.0,2.0,4.0,1.0,1.0,,1.25,6.4,15.25,La Liga,1617,1.96583,0.244565
SP1,2016-10-29,Barcelona,Granada,1,0,H,8.0,1.0,7.0,17.0,1.0,4.0,0.0,0.0,,1.05,22.05,42.5,La Liga,1617,1.75167,0.0445853
