Date,liga,HomeTeam,AwayTeam,FTR,prob_casa_modelo,prob_empate_modelo,prob_fora_modelo,prob_casa_odds,prob_empate_odds,prob_fora_odds,data_corte_modelo
2023-08-13,brasileirao,Gremio,Fluminense,H,0.44644057444889584,0.2545963123962361,0.2989631131548683,0.41963673238092397,0.29061409526081894,0.289749172358257,2023-07-24
2023-08-13,brasileirao,America MG,Goias,A,0.5339103079636509,0.24431407644942382,0.2217756155869255,0.4859910671579954,0.2809196919988413,0.23308924084316326,2023-07-24
2023-08-13,brasileirao,Atletico-MG,Bahia,H,0.6228126319405516,0.2262426765541881,0.15094469150526027,0.6056222960803609,0.2510351486343465,0.14334255528529252,2023-07-24
2023-08-13,brasileirao,Botafogo RJ,Internacional,H,0.40385025483917897,0.3093936485540773,0.28675609660674367,0.40362535938131633,0.31685248081725487,0.2795221598014288,2023-07-24
2023-08-14,brasileirao,Palmeiras,Cruzeiro,H,0.5608123944539359,0.2862932036461305,0.15289440189993386,0.6075123123689233,0.23941371916016685,0.15307396847090982,2023-07-24
2023-08-15,brasileirao,Bragantino,Vasco,D,0.6614269880778607,0.20571772626090423,0.13285528566123533,0.5921318551947414,0.2542136760521927,0.15365446875306582,2023-07-24
2023-08-16,brasileirao,Athletico-PR,Cuiaba,H,0.5043199152275974,0.29269903266465286,0.20298105210774967,0.527321351129957,0.28205560641834915,0.19062304245169373,2023-07-24
2023-08-19,brasileirao,Internacional,Fortaleza,A,0.5009982607135758,0.2908922567865207,0.20810948249990374,0.40080905719837434,0.31018025764078017,0.2890106851608456,2023-07-24
2023-08-19,brasileirao,Sao Paulo,Botafogo RJ,D,0.4543616388774978,0.28629761417592503,0.25934074694657716,0.49761524131643975,0.27566753425200496,0.22671722443155545,2023-07-24
2023-08-19,brasileirao,Cuiaba,Palmeiras,A,0.2375391559982209,0.30174655358172947,0.4607142904200497,0.28096100173493255,0.31058308817982955,0.408455910085238,2023-07-24
2023-08-19,brasileirao,Fluminense,America MG,H,0.6079149610994368,0.22661562814488043,0.16546941075568275,0.6475435753527529,0.22380538318643534,0.12865104146081183,2023-07-24
2023-08-20,brasileirao,Coritiba,Flamengo RJ,A,0.20217551347880475,0.22130210714165796,0.5765223793795373,0.2450395444157308,0.2709768778079252,0.483983577776344,2023-07-24
2023-08-20,brasileirao,Bahia,Bragantino,H,0.3837270754766588,0.26347527854449176,0.3527976459788494,0.3974990022615405,0.2933351070905947,0.3091658906478648,2023-07-24
2023-08-20,brasileirao,Santos,Gremio,H,0.40093512820510746,0.26035114018084365,0.33871373161404894,0.3689316257499043,0.3053227247585415,0.32574564949155427,2023-07-24
2023-08-20,brasileirao,Cruzeiro,Corinthians,D,0.3896060331956538,0.3670705028756442,0.24332346392870197,0.5396784384652424,0.27059086051182074,0.1897307010229368,2023-07-24
