Date,liga,HomeTeam,AwayTeam,total_real,data_corte_modelo,prob_over_3.5,over_real_3.5
2024-01-14,La Liga,Almeria,Girona,8.0,2024-01-02,0.5790546246246002,1.0
2024-01-14,La Liga,Cadiz,Valencia,6.0,2024-01-02,0.8693689574951091,1.0
2024-01-19,La Liga,Alaves,Cadiz,4.0,2024-01-02,0.7789331356518253,1.0
2024-01-20,La Liga,Vallecano,Las Palmas,4.0,2024-01-02,0.7213455888635353,1.0
2024-01-20,La Liga,Villarreal,Mallorca,4.0,2024-01-02,0.7541675950551666,1.0
2024-01-20,La Liga,Valencia,Ath Bilbao,3.0,2024-01-02,0.7687637014098477,0.0
2024-01-20,La Liga,Celta,Sociedad,3.0,2024-01-02,0.7390186483727744,0.0
2024-01-21,La Liga,Girona,Sevilla,2.0,2024-01-02,0.7349863474494914,0.0
2024-01-21,La Liga,Betis,Barcelona,3.0,2024-01-02,0.6354232140777054,0.0
2024-01-21,La Liga,Real Madrid,Almeria,8.0,2024-01-02,0.5310046299439627,1.0
2024-01-21,La Liga,Osasuna,Getafe,8.0,2024-01-02,0.7881204212022265,1.0
2024-01-22,La Liga,Granada,Ath Madrid,4.0,2024-01-02,0.7530877545109862,1.0
2024-01-26,La Liga,Almeria,Alaves,3.0,2024-01-02,0.5969578371127405,0.0
2024-01-27,La Liga,Sociedad,Vallecano,6.0,2024-01-02,0.7479052683702324,1.0
2024-01-27,La Liga,Las Palmas,Real Madrid,6.0,2024-01-02,0.5786117040121047,1.0
2024-01-27,La Liga,Barcelona,Villarreal,7.0,2024-01-02,0.6775770247532786,1.0
2024-01-27,La Liga,Mallorca,Betis,3.0,2024-01-02,0.7102045346094367,0.0
2024-01-28,La Liga,Celta,Girona,2.0,2024-01-02,0.7089327566111236,0.0
2024-01-28,La Liga,Cadiz,Ath Bilbao,6.0,2024-01-02,0.7627295204996271,1.0
2024-01-28,La Liga,Sevilla,Osasuna,3.0,2024-01-02,0.6936028549963105,0.0
2024-01-28,La Liga,Ath Madrid,Valencia,2.0,2024-01-02,0.7817556909811496,0.0
2024-01-29,La Liga,Getafe,Granada,3.0,2024-01-02,0.8873912599127464,0.0
2024-01-31,La Liga,Ath Madrid,Vallecano,3.0,2024-01-02,0.7298039995747234,0.0
2024-01-31,La Liga,Barcelona,Osasuna,3.0,2024-01-02,0.6014782834090724,0.0
2024-02-01,La Liga,Getafe,Real Madrid,3.0,2024-02-01,0.7972185062358255,0.0
2024-02-02,La Liga,Ath Bilbao,Mallorca,1.0,2024-02-01,0.7113013086918805,0.0
2024-02-03,La Liga,Valencia,Almeria,9.0,2024-02-01,0.7442469622369507,1.0
2024-02-03,La Liga,Granada,Las Palmas,7.0,2024-02-01,0.7767300818253072,1.0
2024-02-03,La Liga,Alaves,Barcelona,4.0,2024-02-01,0.6731312766343232,1.0
2024-02-03,La Liga,Girona,Sociedad,5.0,2024-02-01,0.654837578081152,1.0
2024-02-04,La Liga,Villarreal,Cadiz,4.0,2024-02-01,0.8091031403382352,1.0
2024-02-04,La Liga,Osasuna,Celta,2.0,2024-02-01,0.6427683089217664,0.0
2024-02-04,La Liga,Betis,Getafe,11.0,2024-02-01,0.8191989825161929,1.0
2024-02-04,La Liga,Real Madrid,Ath Madrid,5.0,2024-02-01,0.5952634140221762,1.0
2024-02-05,La Liga,Vallecano,Sevilla,4.0,2024-02-01,0.7986256996238383,1.0
2024-02-09,La Liga,Cadiz,Betis,2.0,2024-02-01,0.7498905245771532,0.0
2024-02-10,La Liga,Las Palmas,Valencia,2.0,2024-02-01,0.7997609984074281,0.0
2024-02-10,La Liga,Real Madrid,Girona,3.0,2024-02-01,0.5726361973436319,0.0
2024-02-10,La Liga,Sociedad,Osasuna,0.0,2024-02-01,0.6380174114653877,0.0
2024-02-10,La Liga,Alaves,Villarreal,2.0,2024-02-01,0.7115912260988825,0.0
2024-02-11,La Liga,Getafe,Celta,3.0,2024-02-01,0.8655671900697169,0.0
2024-02-11,La Liga,Mallorca,Vallecano,4.0,2024-02-01,0.7793374936139128,1.0
2024-02-11,La Liga,Sevilla,Ath Madrid,3.0,2024-02-01,0.7146818238905854,0.0
2024-02-11,La Liga,Barcelona,Granada,3.0,2024-02-01,0.7411568125462872,0.0
2024-02-12,La Liga,Almeria,Ath Bilbao,5.0,2024-02-01,0.604062684366869,1.0
2024-02-16,La Liga,Villarreal,Getafe,1.0,2024-02-01,0.8633177201652921,0.0
2024-02-17,La Liga,Ath Madrid,Las Palmas,4.0,2024-02-01,0.6787495892249249,1.0
2024-02-17,La Liga,Osasuna,Cadiz,6.0,2024-02-01,0.7254246215907522,1.0
2024-02-17,La Liga,Celta,Barcelona,6.0,2024-02-01,0.6996023972662563,1.0
2024-02-17,La Liga,Valencia,Sevilla,1.0,2024-02-01,0.8421777354995313,0.0
2024-02-18,La Liga,Betis,Alaves,7.0,2024-02-01,0.6480036069093407,1.0
2024-02-18,La Liga,Mallorca,Sociedad,12.0,2024-02-01,0.7486143987750957,1.0
2024-02-18,La Liga,Granada,Almeria,5.0,2024-02-01,0.7076981350012921,1.0
2024-02-18,La Liga,Vallecano,Real Madrid,7.0,2024-02-01,0.6743648139388791,1.0
2024-02-19,La Liga,Ath Bilbao,Girona,3.0,2024-02-01,0.6071934567358245,0.0
2024-02-23,La Liga,Sociedad,Villarreal,7.0,2024-02-01,0.7286730843155175,1.0
2024-02-24,La Liga,Barcelona,Getafe,5.0,2024-02-01,0.8406970442255939,1.0
2024-02-24,La Liga,Alaves,Mallorca,2.0,2024-02-01,0.7379556595870029,0.0
2024-02-24,La Liga,Almeria,Ath Madrid,2.0,2024-02-01,0.5994341221607392,0.0
2024-02-25,La Liga,Cadiz,Celta,5.0,2024-02-01,0.8104286661170332,1.0
2024-02-25,La Liga,Betis,Ath Bilbao,7.0,2024-02-01,0.6150613552832424,1.0
2024-02-25,La Liga,Las Palmas,Osasuna,3.0,2024-02-01,0.6461321956146902,0.0
2024-02-25,La Liga,Real Madrid,Sevilla,4.0,2024-02-01,0.7000322209200178,1.0
2024-02-26,La Liga,Girona,Vallecano,8.0,2024-02-01,0.6950110126997976,1.0
2024-03-01,La Liga,Celta,Almeria,3.0,2024-02-01,0.673600489140281,0.0
2024-03-02,La Liga,Valencia,Real Madrid,5.0,2024-03-02,0.7024568536893319,1.0
2024-03-02,La Liga,Getafe,Las Palmas,5.0,2024-03-02,0.8350285409681425,1.0
2024-03-02,La Liga,Vallecano,Cadiz,2.0,2024-03-02,0.8355269471496692,0.0
2024-03-02,La Liga,Sevilla,Sociedad,3.0,2024-03-02,0.7611763610563012,0.0
2024-03-03,La Liga,Villarreal,Granada,3.0,2024-03-02,0.7624208909563811,0.0
