Date,liga,HomeTeam,AwayTeam,FTR,prob_casa_modelo,prob_empate_modelo,prob_fora_modelo,prob_casa_odds,prob_empate_odds,prob_fora_odds,data_corte_modelo
2024-04-19,La Liga,Ath Bilbao,Granada,D,0.6648401094495464,0.2448141810757593,0.09034570947469431,0.7566446458749424,0.16141752445332103,0.08193782967173657,2024-04-01
2024-04-20,La Liga,Celta,Las Palmas,H,0.5013902311091302,0.33410829276196236,0.16450147612890748,0.5741076650647807,0.24688090431538917,0.17901143061983016,2024-04-01
2024-04-20,La Liga,Vallecano,Osasuna,H,0.49260126672845994,0.32756410498313504,0.17983462828840496,0.45607119621752695,0.316427246887079,0.22750155689539403,2024-04-01
2024-04-20,La Liga,Valencia,Betis,A,0.39000179427771176,0.33436654939359267,0.2756316563286956,0.3474856727742352,0.31108241181693436,0.34143191540883033,2024-04-01
2024-04-20,La Liga,Girona,Cadiz,H,0.6210145120184702,0.2412765357052704,0.13770895227625954,0.692552225249773,0.19391462306993643,0.11353315168029066,2024-04-01
2024-04-21,La Liga,Getafe,Sociedad,D,0.2788543857168161,0.3673191657145003,0.35382644856868345,0.24906499545132926,0.31618315980996664,0.43475184473870415,2024-04-01
2024-04-21,La Liga,Almeria,Villarreal,A,0.28559488748337597,0.2733838220512577,0.44102129046536614,0.2727923450404155,0.23919722865612789,0.48801042630345676,2024-04-01
2024-04-21,La Liga,Alaves,Ath Madrid,H,0.22674551770110357,0.3150641579015998,0.45819032439729673,0.1799608780699848,0.2811562703760052,0.53888285155401,2024-04-01
2024-04-21,La Liga,Real Madrid,Barcelona,H,0.4725708764241619,0.27914739451686094,0.2482817290589771,0.5628178329641531,0.22128973886999653,0.2158924281658503,2024-04-01
2024-04-22,La Liga,Sevilla,Mallorca,H,0.46967190563762484,0.33382199246755107,0.19650610189482393,0.4582245248502283,0.30937451996257453,0.23240095518719717,2024-04-01
2024-04-26,La Liga,Sociedad,Real Madrid,A,0.3309572921559969,0.32886591976754326,0.34017678807645985,0.41061411528346814,0.30316369259246717,0.2862221921240646,2024-04-01
2024-04-27,La Liga,Ath Madrid,Ath Bilbao,H,0.4729098320517031,0.32237975757560566,0.20471041037269125,0.49309681086957247,0.27833831444500223,0.22856487468542536,2024-04-01
2024-04-27,La Liga,Alaves,Celta,H,0.3900377745678378,0.33984662417507977,0.27011560125708256,0.3651155172144829,0.3132926696098466,0.32159181317567037,2024-04-01
2024-04-27,La Liga,Las Palmas,Girona,A,0.2940816022046088,0.33221824124626154,0.3737001565491296,0.18442458351852545,0.23705306222990957,0.578522354251565,2024-04-01
2024-04-27,La Liga,Almeria,Getafe,A,0.3590025266581721,0.3293109626107127,0.3116865107311152,0.3755563798219585,0.30021327893175076,0.32423034124629085,2024-04-01
2024-04-28,La Liga,Cadiz,Mallorca,D,0.3699859817176756,0.361039851536706,0.26897416674561847,0.34018175866315414,0.34997116179015136,0.3098470795466945,2024-04-01
2024-04-28,La Liga,Granada,Osasuna,H,0.4102269454422206,0.33431472215822167,0.2554583323995578,0.4070373358872458,0.3118010361443966,0.2811616279683577,2024-04-01
2024-04-28,La Liga,Villarreal,Vallecano,H,0.5306500277274006,0.28496847066893005,0.18438150160366942,0.5423979429745515,0.25617211554734753,0.20142994147810106,2024-04-01
2024-04-28,La Liga,Betis,Sevilla,D,0.47368171887051214,0.30809664945080256,0.21822163167868547,0.49100087136804776,0.276974850515309,0.23202427811664308,2024-04-01
2024-04-29,La Liga,Barcelona,Valencia,H,0.7304150363423578,0.19639630575718883,0.07318865790045338,0.7279283528392326,0.16521240772631046,0.10685923943445688,2024-04-01
2024-05-03,La Liga,Getafe,Ath Bilbao,A,0.2651596108543897,0.37613102735572945,0.3587093617898809,0.24715896815451754,0.3113252387330942,0.44151579311238814,2024-05-03
